,price_usd,price_inr,unit,state,timestamp
Rice,17.3,1435.9,$ / CWT,US TOTAL,2025-03-04 10:28:07
Wheat,6.96,577.68,$ / BU,US TOTAL,2025-03-04 10:28:14
Corn,4.55,377.65,$ / BU,US TOTAL,2025-03-04 10:28:18
Barley,7.39,613.37,$ / BU,US TOTAL,2025-03-04 10:28:23
Oats,3.92,325.36,$ / BU,US TOTAL,2025-03-04 10:28:26
Sorghum,8.81,731.23,$ / CWT,US TOTAL,2025-03-04 10:28:29
Millet,4.03,334.49,$ / BU,US TOTAL,2025-03-04 10:28:33
Soybeans,12.4,1029.2,$ / BU,US TOTAL,2025-03-04 10:28:37
Canola,24.3,2016.9,$ / CWT,US TOTAL,2025-03-04 10:28:42
Lentils,40.4,3353.2,$ / CWT,US TOTAL,2025-03-04 10:28:49
Chickpeas,36.6,3037.8,$ / CWT,US TOTAL,2025-03-04 10:28:52
Coffee,14.0,1162.0,$ / LB,US TOTAL,2025-03-04 10:29:01
Almonds,1.64,136.12,$ / LB,US TOTAL,2025-03-04 10:29:32
Walnuts,840.0,69720.0,$ / TON,US TOTAL,2025-03-04 10:29:38
Pistachios,2.0,166.0,$ / LB,US TOTAL,2025-03-04 10:29:41
Potatoes,12.3,1020.9000000000001,$ / CWT,US TOTAL,2025-03-04 10:29:46
Onions,24.5,2033.5,$ / CWT,US TOTAL,2025-03-04 10:29:50
Tomatoes,9.46,785.1800000000001,$ / CWT,US TOTAL,2025-03-04 10:29:53
Garlic,77.8,6457.4,$ / CWT,US TOTAL,2025-03-04 10:29:55
Cotton,0.8,66.4,$ / LB,US TOTAL,2025-03-04 10:30:05
Wool,1.56,129.48000000000002,$ / LB,US TOTAL,2025-03-04 10:30:08
Peanuts,0.269,22.327,$ / LB,US TOTAL,2025-03-04 10:30:16
